incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_latitude,incident_longitude,class_label
Stephens Fire,2015,2,24,12,15,41.485,-121.851,1
Ward Fire,2015,4,13,5,30,40.050833333333,-120.70166666667,1
Highway Fire,2015,4,18,18,12,33.884313,-117.642759,1
Forebay Fire,2015,5,11,10,26,37.08312,-121.06963,1
Bald Fire,2015,6,10,7,42,41.1513,-123.8292,1
Saddle Fire ,2015,6,10,15,0,40.924,-123.168,1
Pass Fire,2015,6,15,15,46,35.77937,-120.19482,1
Chiles Fire,2015,6,16,14,27,38.5287,-122.3415,1
North Fire,2015,6,16,16,42,38.260777,-121.135426,1
Fork Fire,2015,6,17,12,50,40.0133,-122.552,1
Lake Fire,2015,6,17,15,52,34.160277777778,-116.89277777778,1
Wildcat Fire,2015,6,17,17,3,32.9421,-116.8534,1
Cook Fire,2015,6,18,13,7,39.2688,-121.26471,1
Corrine Fire,2015,6,18,21,0,37.165767,-119.523943,1
Dixie Fire,2015,6,19,16,15,40.875667,-121.033667,1
Washington Fire,2015,6,19,19,0,38.598056,-119.751944,1
Red Fire,2015,6,21,12,8,37.072561,-119.6958,1
Calgrove Fire ,2015,6,24,13,22,34.361007,-118.535793,1
Loma Fire,2015,6,24,16,15,37.974123,-121.833751,1
Sterling Fire,2015,6,25,18,30,34.165974,-117.243878,1
Otay Fire,2015,6,26,16,6,32.6449163,-116.9454387,1
Pleasure Fire,2015,6,27,12,51,38.519132,-122.181878,1
Covelo Fire,2015,6,28,13,30,39.7806004,-123.248214,1
Soda Fire,2015,7,4,15,30,39.0263,-123.303,1
Black Fire,2015,7,4,16,33,39.8448,-122.3638,1
Sky Fire,2015,7,6,10,47,38.4113,-122.0789,1
Keswick Fire,2015,7,7,12,34,40.5953,-122.4397,1
Deer Fire,2015,7,10,12,41,35.7183,-121.0157,1
Ascot Fire,2015,7,10,13,36,38.1029,-122.1578,1
Spider Fire,2015,7,12,13,52,33.986204,-117.43942,1
Mill 2 Fire,2015,7,12,14,46,34.0783472,-117.0487863,1
