incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
River Fire,2013,02,24,08,16,407,-118.01651,36.602575,2013,02,28,20,00
Fawnskin Fire,2013,04,20,17,30,30,-116.941311,34.288877,2013,04,22,09,00
Gold Fire,2013,04,30,12,59,274,-119.635004,37.116295,2013,05,01,07,00
Silverado Fire,2013,04,30,23,44,75,-122.350844,38.441792,2013,05,01,17,15
Yellow Fire,2013,05,01,02,01,125,-122.655616,38.638828,2013,05,03,06,15
Panther Fire,2013,05,01,09,12,6896,-121.595555,40.190062,2013,05,09,09,00
Summit Fire,2013,05,01,12,38,2956,-116.941311,34.288877,2013,05,04,18,30
306 Fire,2013,05,01,19,00,217,-122.560862,39.514139,2013,05,05,18,00
Tres Pinos Fire,2013,05,03,11,42,354,-120.937494,37.160346,2013,05,03,18,45
Gorgonio Fire,2013,05,04,11,43,650,-116.855019,33.894055,2013,05,05,18,45
Lytle Fire,2013,05,13,13,30,75,-117.4408,34.1834,2013,05,15,08,15
Grand Fire,2013,05,15,12,50,4346,-118.9411,34.7861,2013,05,21,19,45
54 Fire,2013,05,16,13,48,40,-116.161201,33.655638,2013,05,17,08,30
Lake Fire,2013,05,17,13,23,712,-118.610044,34.49149,2013,05,18,19,00
Lilly 2 Fire,2013,05,19,15,07,91,-119.7917,37.1927,2013,05,20,19,10
Cherry Fire,2013,05,20,13,47,25,-116.907213,33.96201,2013,05,20,18,50
Cottontail Fire,2013,05,20,15,45,35,-120.91375,35.49864,2013,05,20,19,10
Water Fire,2013,05,21,14,16,90,-116.6534,33.9582,2013,05,21,19,30
Border Fire,2013,05,22,16,14,100,-116.900368,32.564465,2013,05,23,08,30
San Felipe Fire,2013,05,23,12,20,2650,-116.52579,33.12111,2013,05,26,17,45
Smiley Fire,2013,05,25,14,59,124,-117.187934,33.963591,2013,05,25,23,00
Homestead Fire,2013,05,25,17,35,50,-120.6368,35.5123,2013,05,25,18,45
General Fire,2013,05,26,12,04,2500,-116.5209,33.04458,2013,05,31,06,15
White Fire,2013,05,27,14,45,1984,-119.82429,34.55048,2013,05,30,19,30
Magic Fire,2013,05,28,11,30,149,-118.58688,34.419284,2013,05,29,15,30
Olive Fire,2013,05,28,15,24,170,-120.074655,34.611824,2013,05,29,10,30
Shelton Fire,2013,05,30,11,20,303,-120.90325,38.04993,2013,05,30,13,25
Powerhouse Fire,2013,05,30,15,28,30274,-118.423176,34.585595,2013,06,08,18,30
Branch Fire,2013,06,01,17,27,500,-120.05131,35.15832,2013,06,03,18,30
Murphy Fire,2013,06,02,13,30,100,-120.33313,37.91529,2013,06,02,16,55
Lone Fire,2013,06,03,13,49,298,-121.576804,39.434183,2013,06,03,20,00
152 Fire,2013,06,04,15,42,124,-121.006939,37.03776,2013,06,05,08,30
Lake Fire,2013,06,05,16,05,30,-122.703193,38.99233,2013,06,06,07,00
Vasco Fire,2013,06,08,10,16,240,-121.737213,37.775057,2013,06,08,13,25
Viper Fire,2013,06,08,15,37,42,-117.1265,33.96936,2013,06,08,19,00
Hathaway Fire,2013,06,09,12,30,0,-116.84137,33.99647,2013,06,09,16,45
Sonoma-Lake-Napa Unit Lightning Fires,2013,06,10,00,46,28,-122.0437,38.4229,2013,06,14,15,45
Northern California Lightning Activity,2013,06,10,00,46,60,-121.5747,39.9845,2013,06,14,16,30
Revis Fire,2013,06,12,16,40,75,-119.75636,37.169379,2013,06,14,16,30
Roadrunner Fire,2013,06,12,16,43,96,-120.966016,38.27783,2013,06,13,09,45
PFE Fire,2013,06,13,11,28,237,-121.380862,38.729297,2013,06,13,14,15
Clinton Fire,2013,06,13,11,54,108,-119.628389,36.772425,2013,06,13,21,30
Michelle Fire,2013,06,13,15,54,35,-119.558244,36.763367,2013,06,13,21,30
Palmyrita Fire,2013,06,14,13,47,40,-117.302057,34.001745,2013,06,15,08,00
Carstens Fire,2013,06,16,14,12,1708,-119.91071,37.58202,2013,06,26,11,15
Rolling Fire,2013,06,16,18,17,480,-119.78106,37.015575,2013,06,18,19,30
Sierra Fire,2013,06,17,14,41,46,-119.463757,37.03087,2013,06,19,08,45
California Fire,2013,06,18,15,18,124,-122.13802,38.08744,2013,06,18,22,30
Mount Fire,2013,06,20,14,29,25,-122.81796,38.98058,2013,06,20,13,15
George Fire,2013,06,25,13,36,150,-119.2248,36.7218,2013,06,25,17,15
Mills Fire,2013,06,28,14,30,534,-117.048397,34.071556,2013,07,01,06,00
Freeman Fire,2013,06,29,14,09,105,-120.8973,36.1531,2013,06,29,18,30
Kirker Fire,2013,07,01,13,19,492,-121.91453,37.96866,2013,07,01,18,40
Concord Fire,2013,07,01,15,41,274,-121.74367,39.90465,2013,07,01,18,30
Northern Region July Lightning,2013,07,02,12,00,754,-121.5747,39.9845,2013,07,04,10,45
Fox Fire (formally 3-7 Fire),2013,07,03,22,56,502,-121.035,41.2415,2013,07,05,18,30
Vina Fire,2013,07,04,07,30,200,-122.079871,40.012398,2013,07,04,10,30
Grant Fire,2013,07,04,10,00,50,-121.5869,37.7393,2013,07,04,11,30
Chariot Fire,2013,07,06,12,55,7055,-116.47381,32.95435,2013,07,15,06,15
Fallon Fire,2013,07,06,13,09,38,-121.86216,37.74241,2013,07,06,14,30
Adelaida Fire,2013,07,07,13,16,85,-120.83417,35.62743,2013,07,07,22,00
McGanney Fire,2013,07,08,09,59,73,-121.31634,39.206,2013,07,08,17,30
Kyburz Fire,2013,07,08,12,45,572,-120.298,38.774,2013,07,11,18,30
Fiddler Fire,2013,07,09,11,59,43,-122.7338,40.373,2013,07,09,15,00
Uvas Fire,2013,07,12,13,09,50,-121.7804,37.1438,2013,07,12,17,45
Diablo Fire,2013,07,12,15,35,150,-121.1955,37.436,2013,07,13,21,45
Mountain Fire,2013,07,15,13,43,27531,-116.72885,33.7095,2013,07,30,18,00
Redlands Fire,2013,07,16,17,48,150,-117.164997,33.990128,2013,07,17,07,45
Rancho Fire,2013,07,19,12,00,500,-118.9194,34.882,2013,07,22,18,45
Paskenta Fire,2013,07,19,13,32,195,-122.330879,39.961309,2013,07,19,15,00
