STATION_ID,STATION_NAME,STATION_LATITUDE,STATION_LONGITUDE,STATION_ELEVATION
23239,"ALAMEDA NAS, CA US",37.78333,-122.31667,9.1 m
03164,"CAMPO ASOS, CA US",32.6261,-116.4681,805 m
23240,"CROWS LANDING, CA US",37.4,-121.13333,50.3 m
93101,"EL TORO MCAS, CA US",33.66667,-117.73333,117 m
23167,"FRESNO CHANDLER DOWNTOWN AIRPORT, CA US",36.73333,-119.81667,84.1 m
93217,"FRITZSCHE ARMY AIR FIELD, CA US",36.68333,-121.76667,43 m
93194,"INYOKERN KERN CO, CA US",35.66667,-117.83333,748.9 m
93136,"MOUNT WILSON, CA US",34.23333,-118.06667,1739.2 m
93226,"SAN SIMEON POINT PIEDRAS BLANCAS, CA US",35.66556,-121.28472,18 m
04204,"SHELTER COVE AIRPORT, CA US",40.03306,-124.06778,21 m
03122,"TORRANCE AIRPORT, CA US",33.8016,-118.3419,27.4 m
93114,"TUSTIN MCAF, CA US",33.7,-117.83333,17.1 m
