YEAR,MONTH,DAY,sumPrecipitation,maxDryBulbTemperature,minDryBulbTemperature,meanDryBulbTemperature,meanDewPointTemperature,meanWetBulbTemperature,maxWindSpeed,meanWindSpeed,maxRelativeHumidity,minRelativeHumidity,meanRelativeHumidity,calculate_circular_meanWindDirection,mode_functionWindDirection,maxWindGustSpeed,mode_functionPresentWeatherType,mode_functionSkyConditions
2014,11,6,0.0,64.0,27.0,42.25,21.26388888888889,33.25,11.0,2.3194444444444446,80.0,18.0,50.25,17.984798876221323,0.0,16.0,,CLR:00
2014,11,7,0.0,70.0,27.0,42.26470588235294,17.802816901408452,32.13235294117647,8.0,1.3661971830985915,74.0,11.0,45.60294117647059,8.426190602537401,0.0,,,CLR:00
2014,11,8,0.0,64.0,28.0,39.61666666666667,20.15,31.433333333333334,9.0,0.9666666666666667,69.0,17.0,49.766666666666666,9.558230154805468,0.0,,,CLR:00
2014,11,9,0.0,66.0,28.0,45.041666666666664,22.069444444444443,34.916666666666664,11.0,3.5277777777777777,69.0,18.0,44.47222222222222,306.8243139590977,0.0,,,CLR:00
2014,11,10,0.0,64.0,30.0,45.333333333333336,21.61111111111111,35.041666666666664,11.0,3.9583333333333335,69.0,17.0,42.986111111111114,284.81287857199567,0.0,,,CLR:00
2014,11,11,0.0,63.0,28.0,43.833333333333336,14.472222222222221,32.111111111111114,11.0,4.222222222222222,69.0,11.0,37.111111111111114,286.9658976507034,0.0,18.0,,CLR:00
2014,11,12,0.0,61.0,30.0,44.541666666666664,9.625,31.51388888888889,13.0,4.75,60.0,9.0,28.180555555555557,283.93899751078607,0.0,20.0,,CLR:00
2014,11,13,0.0,57.0,32.0,45.236111111111114,30.90277777777778,38.72222222222222,20.0,7.680555555555555,81.0,37.0,58.791666666666664,254.26842059569856,260.0,26.0,,CLR:00
2014,11,14,0.0,55.0,32.0,43.763888888888886,20.430555555555557,34.27777777777778,17.0,5.430555555555555,87.0,14.0,45.708333333333336,270.8106460503427,0.0,28.0,,CLR:00
2014,11,15,0.0,54.0,30.0,42.333333333333336,17.22222222222222,32.236111111111114,15.0,7.958333333333333,55.0,19.0,38.44444444444444,269.47252100566357,0.0,26.0,,CLR:00
2014,11,16,0.0,41.0,28.0,34.25,-1.3396226415094339,23.875,20.0,7.236111111111111,81.0,2.0,22.97222222222222,57.532792297124445,0.0,25.0,,CLR:00
2014,11,17,0.0,46.0,25.0,34.708333333333336,0.8333333333333334,24.069444444444443,14.0,4.444444444444445,37.0,14.0,24.694444444444443,46.34376401954567,0.0,18.0,,CLR:00
