YEAR,MONTH,DAY,PRCP,SNOW,SNWD,TMAX,TMIN,ADPT,AWBT,AWND,EVAP,FMTM,FRGB,FRGT,FRTH,RHAV,RHMN,RHMX,TAVG
2014,1,1,0.0,,,69.98,50.0,,,5.3688,,,,,,,,,
2014,1,2,0.0,,,78.98,51.98,,,2.9081,,,,,,,,,
2014,1,3,0.0,,,75.02,53.06,,,2.0133,,,,,,,,,
2014,1,4,0.0,,,71.96,57.92,,,2.9081,,,,,,,,,
2014,1,5,0.0,,,75.92,53.06,,,5.3688,,,,,,,,,
2014,1,6,0.0,,,80.96,48.02,,,3.8029,,,,,,,,,
2014,1,7,0.0,,,69.08,48.92,,,3.8029,,,,,,,,,
2014,1,8,0.0,,,68.0,53.96,,,5.3688,,,,,,,,,
2014,1,9,0.0,,,68.0,53.96,,,5.3688,,,,,,,,,
2014,1,10,0.0,,,73.04,50.0,,,3.8029,,,,,,,,,
2014,1,11,0.0,,,75.02,51.08,,,2.6844,,,,,,,,,
2014,1,12,0.0,,,66.92,55.94,,,5.8162,,,,,,,,,
2014,1,13,0.0,,,82.04,53.06,,,5.8162,,,,,,,,,
2014,1,14,0.0,,,84.91999999999999,50.0,,,4.0266,,,,,,,,,
2014,1,15,0.0,,,87.98,53.96,,,5.1451,,,,,,,,,
2014,1,16,0.0,,,87.98,51.98,,,4.2503,,,,,,,,,
2014,1,17,0.0,,,87.98,51.98,,,4.0266,,,,,,,,,
2014,1,18,0.0,,,84.02,50.0,,,2.9081,,,,,,,,,
2014,1,19,0.0,,,77.0,53.06,,,2.237,,,,,,,,,
2014,1,20,0.0,,,78.08,51.98,,,4.9214,,,,,,,,,
2014,1,21,0.0,,,78.08,55.04,,,5.5925,,,,,,,,,
2014,1,22,0.0,,,75.02,53.96,,,2.4607,,,,,,,,,
2014,1,23,0.0,,,69.08,55.94,,,4.0266,,,,,,,,,
2014,1,24,0.0,,,71.06,60.980000000000004,,,4.474,,,,,,,,,
2014,1,25,0.0,,,80.06,62.959999999999994,,,4.474,,,,,,,,,
2014,1,26,0.0,,,75.92,57.02,,,3.1318,,,,,,,,,
2014,1,27,0.0,,,75.02,59.0,,,6.2636,,,,,,,,,
2014,1,28,0.0,,,71.06,57.02,,,3.1318,,,,,,,,,
2014,1,29,0.0,,,73.94,57.02,,,4.0266,,,,,,,,,
2014,1,30,0.0,,,66.02,60.08,,,8.0532,,,,,,,,,
2014,1,31,0.0,,,69.08,55.94,,,9.1717,,,,,,,,,
2014,2,1,0.0,,,68.0,51.98,,,6.2636,,,,,,,,,
2014,2,2,0.0,,,68.0,50.0,,,4.9214,,,,,,,,,
2014,2,3,0.07874015748031496,,,66.02,55.04,,,7.8295,,,,,,,,,
2014,2,4,0.0,,,68.0,53.06,,,6.0399,,,,,,,,,
2014,2,5,0.0,,,68.0,55.04,,,5.8162,,,,,,,,,
2014,2,6,0.2283464566929134,,,66.92,57.92,,,6.711,,,,,,,,,
2014,2,7,0.011811023622047244,,,68.0,60.08,,,7.6058,,,,,,,,,
2014,2,8,0.0,,,69.98,55.04,,,8.948,,,,,,,,,
2014,2,9,0.0,,,71.06,60.08,,,7.6058,,,,,,,,,
2014,2,10,0.0,,,71.06,57.02,,,3.8029,,,,,,,,,
2014,2,11,0.0,,,71.06,55.04,,,7.3821,,,,,,,,,
2014,2,12,0.0,,,80.06,55.04,,,6.0399,,,,,,,,,
2014,2,13,0.0,,,82.94,55.04,,,3.5792,,,,,,,,,
2014,2,14,0.0,,,80.06,55.04,,,4.0266,,,,,,,,,
2014,2,15,0.0,,,82.94,53.96,,,5.5925,,,,,,,,,
2014,2,16,0.0,,,75.92,59.0,,,6.2636,,,,,,,,,
2014,2,17,0.0,,,69.08,57.02,,,6.0399,,,,,,,,,
2014,2,18,0.0,,,66.92,60.980000000000004,,,4.474,,,,,,,,,
2014,2,19,0.0,,,69.08,57.02,,,4.0266,,,,,,,,,
2014,2,20,0.0,,,77.0,53.96,,,5.3688,,,,,,,,,
2014,2,21,0.0,,,80.06,57.02,,,3.5792,,,,,,,,,
2014,2,22,0.0,,,75.02,53.96,,,2.237,,,,,,,,,
2014,2,23,0.0,,,73.04,57.02,,,2.9081,,,,,,,,,
2014,2,24,0.0,,,75.02,57.02,,,4.0266,,,,,,,,,
2014,2,25,0.0,,,73.04,60.08,,,4.474,,,,,,,,,
2014,2,26,0.0,,,71.06,60.08,,,6.0399,,,,,,,,,
2014,2,27,0.01968503937007874,,,71.06,60.980000000000004,,,8.948,,,,,,,,,
2014,2,28,0.3503937007874016,,,69.98,62.059999999999995,,,18.7908,,,,,,,,,
2014,3,1,0.531496062992126,,,69.08,59.0,,,10.2902,,,,,,,,,
2014,3,2,0.2283464566929134,,,69.98,60.08,,,5.5925,,,,,,,,,
2014,3,3,0.0,,,69.98,55.04,,,7.6058,,,,,,,,,
2014,3,4,0.0,,,69.98,62.959999999999994,,,5.8162,,,,,,,,,
2014,3,5,0.0,,,69.08,57.92,,,7.3821,,,,,,,,,
2014,3,6,0.0,,,73.04,62.959999999999994,,,6.711,,,,,,,,,
2014,3,7,0.0,,,71.96,62.059999999999995,,,6.4873,,,,,,,,,
2014,3,8,0.0,,,84.02,55.94,,,6.711,,,,,,,,,
2014,3,9,0.0,,,87.08000000000001,55.94,,,6.711,,,,,,,,,
2014,3,10,0.0,,,80.96,57.02,,,3.5792,,,,,,,,,
2014,3,11,0.0,,,69.98,57.92,,,5.8162,,,,,,,,,
2014,3,12,0.0,,,71.96,60.08,,,5.5925,,,,,,,,,
2014,3,13,0.0,,,71.06,60.08,,,5.8162,,,,,,,,,
2014,3,14,0.0,,,71.96,57.02,,,4.2503,,,,,,,,,
2014,3,15,0.0,,,75.92,60.980000000000004,,,6.0399,,,,,,,,,
2014,3,16,0.0,,,91.94,57.92,,,6.711,,,,,,,,,
2014,3,17,0.0,,,75.02,57.92,,,5.5925,,,,,,,,,
2014,3,18,0.0,,,71.06,64.04,,,6.9347,,,,,,,,,
2014,3,19,0.0,,,73.04,60.980000000000004,,,4.6977,,,,,,,,,
2014,3,20,0.0,,,75.02,60.08,,,3.5792,,,,,,,,,
2014,3,21,0.0,,,71.96,64.04,,,5.3688,,,,,,,,,
2014,3,22,0.0,,,71.06,64.04,,,7.8295,,,,,,,,,
2014,3,23,0.0,,,71.96,64.94,,,6.711,,,,,,,,,
2014,3,24,0.0,,,73.04,66.02,,,7.6058,,,,,,,,,
2014,3,25,0.0,,,71.96,64.04,,,6.711,,,,,,,,,
