YEAR,MONTH,DAY,PRCP,SNOW,SNWD,TMAX,TMIN,ADPT,AWBT,AWND,EVAP,FMTM,FRGB,FRGT,FRTH,RHAV,RHMN,RHMX,TAVG
1998,6,1,8,,,256,28,,,20,,1801,,,,,,,144
1998,6,2,8,,,194,94,,,38,,1436,,,,,,,144
1998,6,3,25,,,172,83,,,36,,1349,,,,,,,128
1998,6,4,0,,,189,67,,,27,,1158,,,,,,,128
1998,6,5,0,,,222,33,,,12,,1745,,,,,,,128
1998,6,6,0,,,239,50,,,13,,1721,,,,,,,144
1998,6,7,71,,,206,56,,,22,,1450,,,,,,,133
1998,6,8,61,,,189,78,,,23,,1640,,,,,,,133
1998,6,9,0,,,211,44,,,15,,1204,,,,,,,128
1998,6,10,213,,,139,100,,,21,,550,,,,,,,122
1998,6,11,51,,,189,83,,,29,,1706,,,,,,,139
1998,6,12,15,,0,189,61,,,11,,1227,,,,,,,128
1998,6,13,0,,,228,83,,,39,,2033,,,,,,,156
1998,6,14,0,,,233,44,,,26,,1700,,,,,,,139
1998,6,15,0,,,239,72,,,45,,1638,,,,,,,156
1998,6,16,0,,,167,50,,,48,,915,,,,,,,111
1998,6,17,0,,,233,28,,,12,,1557,,,,,,,133
1998,6,18,0,,,244,56,,,38,,1440,,,,,,,150
1998,6,19,0,,,222,89,,,23,,1548,,,,,,,156
1998,6,20,0,,,256,50,,,13,,1240,,,,,,,156
1998,6,21,15,,,261,61,,,18,,1250,,,,,,,161
1998,6,22,3,,,233,67,,,32,,1559,,,,,,,150
1998,6,23,0,,,228,89,,,24,,1712,,,,,,,161
1998,6,24,3,,,189,111,,,37,,2144,,,,,,,150
1998,6,25,48,,,200,83,,,49,,1445,,,,,,,144
1998,6,26,0,,,178,50,,,26,,1601,,,,,,,117
1998,6,27,0,,,261,0,,,18,,1415,,,,,,,133
1998,6,28,0,,,267,44,,,25,,1634,,,,,,,156
1998,6,29,0,,,278,44,,,24,,1539,,,,,,,161
1998,6,30,0,,,278,39,,,25,,1721,,,,,,,161
1998,7,1,0,,,278,67,,,21,,1842,,,,,,,172
1998,7,2,0,,,278,89,,,22,,1759,,,,,,,183
1998,7,3,0,,,267,106,,,35,,1739,,,,,,,189
1998,7,4,0,,,272,78,,,24,,1531,,,,,,,178
1998,7,5,0,,,289,89,,,19,,1713,,,,,,,189
1998,7,6,0,,,322,89,,,21,,2047,,,,,,,206
1998,7,7,13,,,317,100,,,19,,1604,,,,,,,211
1998,7,8,0,,,317,78,,,21,,1809,,,,,,,200
1998,7,9,0,,,311,67,,,28,,1631,,,,,,,189
1998,7,10,0,,,278,61,,,43,,1714,,,,,,,172
1998,7,11,0,,,283,56,,,21,,1537,,,,,,,172
1998,7,12,0,,,317,50,,,23,,1704,,,,,,,183
1998,7,13,0,,,300,78,,,28,,1550,,,,,,,189
1998,7,14,0,,,300,78,,,28,,1529,,,,,,,189
1998,7,15,0,,,322,56,,,13,,1547,,,,,,,189
1998,7,16,0,,,372,61,,,15,,1538,,,,,,,217
1998,7,17,0,,,361,100,,,28,,1724,,,,,,,233
1998,7,18,0,,,344,106,,,22,,1744,,,,,,,228
1998,7,19,0,,,350,78,,,14,,1714,,,,,,,217
1998,7,20,0,,,356,89,,,25,,1616,,,,,,,222
1998,7,21,0,,,367,100,,,21,,1648,,,,,,,233
1998,7,22,272,,,344,117,,,25,,1649,,,,,,,233
1998,7,23,48,,0,294,144,,,21,,1425,,,,,,,222
1998,7,24,3,,,300,117,,,16,,1620,,,,,,,211
1998,7,25,23,,,283,128,,,13,,1903,,,,,,,206
1998,7,26,0,,,328,94,,,21,,1711,,,,,,,211
1998,7,27,0,,,333,111,,,16,,1736,,,,,,,222
1998,7,28,0,,,339,100,,,21,,1736,,,,,,,222
1998,7,29,0,,,322,100,,,31,,1710,,,,,,,211
1998,7,30,0,,,278,67,,,22,,1741,,,,,,,172
1998,7,31,0,,,244,111,,,21,,1702,,,,,,,178
1998,9,1,0,,,356,61,,,12,,1732,,,,,,,211
1998,9,2,0,,,367,61,,,14,,1603,,,,,,,217
1998,9,3,0,,,367,67,,,14,,1441,,,,,,,217
1998,9,4,0,,,361,94,,,20,,1946,,,,,,,228
1998,9,5,15,,,239,167,,,13,,2359,,,,,,,206
1998,9,6,10,,,311,133,,,17,,1337,,,,,,,222
1998,9,7,61,,0,289,106,,,18,,1408,,,,,,,200
1998,9,8,13,,,272,133,,,33,,1321,,,,,,,206
1998,9,9,3,,,200,106,,,31,,1641,,,,,,,156
1998,9,10,107,,,211,89,,,22,,1550,,,,,,,150
1998,9,11,0,,,250,67,,,34,,1229,,,,,,,161
1998,9,12,0,,,272,78,,,17,,9,,,,,,,178
1998,9,13,0,,,294,33,,,9,,1549,,,,,,,167
1998,9,14,0,,,311,44,,,12,,1212,,,,,,,178
1998,9,15,0,,,306,72,,,22,,1528,,,,,,,189
1998,9,16,0,,,306,56,,,25,,1258,,,,,,,183
1998,9,17,0,,,272,56,,,46,,1128,,,,,,,167
1998,9,18,0,,,211,17,,,34,,1612,,,,,,,117
1998,9,19,0,,,189,17,,,14,,1510,,,,,,,106
1998,9,20,0,,,200,17,,,26,,1944,,,,,,,111
1998,9,21,0,,,206,17,,,20,,126,,,,,,,111
1998,9,22,0,,,228,6,,,8,,1331,,,,,,,117
1998,9,23,0,,,233,-6,,,9,,1246,,,,,,,117
1998,9,24,0,,,244,6,,,17,,2026,,,,,,,128
1998,9,25,231,,,150,72,,,32,,1357,,,,,,,111
1998,9,26,28,,,133,67,,,32,,1032,,,,,,,100
1998,9,27,38,,,183,33,,,24,,1248,,,,,,,111
1998,9,28,0,,,228,39,,,6,,1627,,,,,,,133
1998,9,29,0,,,261,39,,,27,,1408,,,,,,,150
1998,9,30,0,,,256,28,,,12,,1414,,,,,,,144
1998,10,1,0,,,206,56,,,35,,1457,,,,,,,133
1998,10,2,3,,,139,61,,,29,,2209,,,,,,,100
1998,10,3,0,,0,128,11,,,24,,1550,,,,,,,72
1998,10,4,0,,,144,0,,,17,,1357,,,,,,,72
1998,10,5,0,,,194,-39,,,14,,1920,,,,,,,78
1998,10,6,0,,,217,-33,,,18,,1402,,,,,,,94
1998,10,7,0,,,206,-22,,,34,,1119,,,,,,,94
1998,10,8,0,,,161,6,,,32,,1608,,,,,,,83
1998,10,9,0,,,133,-28,,,22,,1728,,,,,,,56
1998,10,10,0,,,139,-6,,,13,,1834,,,,,,,67
1998,10,11,0,,,206,-33,,,17,,1757,,,,,,,89
